operand1,operand2,result,value1,value2,result_value
00000000,00000000,00000111,1.0,1.0,1.875
00000000,00000001,00000111,1.0,1.125,1.875
00000000,00000010,00000111,1.0,1.25,1.875
00000000,00000011,00000111,1.0,1.375,1.875
00000000,00000100,00000111,1.0,1.5,1.875
00000000,00000101,00000111,1.0,1.625,1.875
00000000,00000110,00000111,1.0,1.75,1.875
00000000,00000111,00000111,1.0,1.875,1.875
00000000,00001000,00000100,1.0,0.5,1.5
00000000,00001001,00000100,1.0,0.5625,1.5
00000000,00001010,00000101,1.0,0.625,1.625
00000000,00001011,00000101,1.0,0.6875,1.625
00000000,00001100,00000110,1.0,0.75,1.75
00000000,00001101,00000110,1.0,0.8125,1.75
00000000,00001110,00000111,1.0,0.875,1.875
00000000,00001111,00000111,1.0,0.9375,1.875
00000001,00000000,00000111,1.125,1.0,1.875
00000001,00000001,00000111,1.125,1.125,1.875
00000001,00000010,00000111,1.125,1.25,1.875
00000001,00000011,00000111,1.125,1.375,1.875
00000001,00000100,00000111,1.125,1.5,1.875
00000001,00000101,00000111,1.125,1.625,1.875
00000001,00000110,00000111,1.125,1.75,1.875
00000001,00000111,00000111,1.125,1.875,1.875
00000001,00001000,00000101,1.125,0.5,1.625
00000001,00001001,00000101,1.125,0.5625,1.625
00000001,00001010,00000110,1.125,0.625,1.75
00000001,00001011,00000110,1.125,0.6875,1.75
00000001,00001100,00000111,1.125,0.75,1.875
00000001,00001101,00000111,1.125,0.8125,1.875
00000001,00001110,00000111,1.125,0.875,1.875
00000001,00001111,00000111,1.125,0.9375,1.875
00000010,00000000,00000111,1.25,1.0,1.875
00000010,00000001,00000111,1.25,1.125,1.875
00000010,00000010,00000111,1.25,1.25,1.875
00000010,00000011,00000111,1.25,1.375,1.875
00000010,00000100,00000111,1.25,1.5,1.875
00000010,00000101,00000111,1.25,1.625,1.875
00000010,00000110,00000111,1.25,1.75,1.875
00000010,00000111,00000111,1.25,1.875,1.875
00000010,00001000,00000110,1.25,0.5,1.75
00000010,00001001,00000110,1.25,0.5625,1.75
00000010,00001010,00000111,1.25,0.625,1.875
00000010,00001011,00000111,1.25,0.6875,1.875
00000010,00001100,00000111,1.25,0.75,1.875
00000010,00001101,00000111,1.25,0.8125,1.875
00000010,00001110,00000111,1.25,0.875,1.875
00000010,00001111,00000111,1.25,0.9375,1.875
00000011,00000000,00000111,1.375,1.0,1.875
00000011,00000001,00000111,1.375,1.125,1.875
00000011,00000010,00000111,1.375,1.25,1.875
00000011,00000011,00000111,1.375,1.375,1.875
00000011,00000100,00000111,1.375,1.5,1.875
00000011,00000101,00000111,1.375,1.625,1.875
00000011,00000110,00000111,1.375,1.75,1.875
00000011,00000111,00000111,1.375,1.875,1.875
00000011,00001000,00000111,1.375,0.5,1.875
00000011,00001001,00000111,1.375,0.5625,1.875
00000011,00001010,00000111,1.375,0.625,1.875
00000011,00001011,00000111,1.375,0.6875,1.875
00000011,00001100,00000111,1.375,0.75,1.875
00000011,00001101,00000111,1.375,0.8125,1.875
00000011,00001110,00000111,1.375,0.875,1.875
00000011,00001111,00000111,1.375,0.9375,1.875
00000100,00000000,00000111,1.5,1.0,1.875
00000100,00000001,00000111,1.5,1.125,1.875
00000100,00000010,00000111,1.5,1.25,1.875
00000100,00000011,00000111,1.5,1.375,1.875
00000100,00000100,00000111,1.5,1.5,1.875
00000100,00000101,00000111,1.5,1.625,1.875
00000100,00000110,00000111,1.5,1.75,1.875
00000100,00000111,00000111,1.5,1.875,1.875
00000100,00001000,00000111,1.5,0.5,1.875
00000100,00001001,00000111,1.5,0.5625,1.875
00000100,00001010,00000111,1.5,0.625,1.875
00000100,00001011,00000111,1.5,0.6875,1.875
00000100,00001100,00000111,1.5,0.75,1.875
00000100,00001101,00000111,1.5,0.8125,1.875
00000100,00001110,00000111,1.5,0.875,1.875
00000100,00001111,00000111,1.5,0.9375,1.875
00000101,00000000,00000111,1.625,1.0,1.875
00000101,00000001,00000111,1.625,1.125,1.875
00000101,00000010,00000111,1.625,1.25,1.875
00000101,00000011,00000111,1.625,1.375,1.875
00000101,00000100,00000111,1.625,1.5,1.875
00000101,00000101,00000111,1.625,1.625,1.875
00000101,00000110,00000111,1.625,1.75,1.875
00000101,00000111,00000111,1.625,1.875,1.875
00000101,00001000,00000111,1.625,0.5,1.875
00000101,00001001,00000111,1.625,0.5625,1.875
00000101,00001010,00000111,1.625,0.625,1.875
00000101,00001011,00000111,1.625,0.6875,1.875
00000101,00001100,00000111,1.625,0.75,1.875
00000101,00001101,00000111,1.625,0.8125,1.875
00000101,00001110,00000111,1.625,0.875,1.875
00000101,00001111,00000111,1.625,0.9375,1.875
00000110,00000000,00000111,1.75,1.0,1.875
00000110,00000001,00000111,1.75,1.125,1.875
00000110,00000010,00000111,1.75,1.25,1.875
00000110,00000011,00000111,1.75,1.375,1.875
00000110,00000100,00000111,1.75,1.5,1.875
00000110,00000101,00000111,1.75,1.625,1.875
00000110,00000110,00000111,1.75,1.75,1.875
00000110,00000111,00000111,1.75,1.875,1.875
00000110,00001000,00000111,1.75,0.5,1.875
00000110,00001001,00000111,1.75,0.5625,1.875
00000110,00001010,00000111,1.75,0.625,1.875
00000110,00001011,00000111,1.75,0.6875,1.875
00000110,00001100,00000111,1.75,0.75,1.875
00000110,00001101,00000111,1.75,0.8125,1.875
00000110,00001110,00000111,1.75,0.875,1.875
00000110,00001111,00000111,1.75,0.9375,1.875
00000111,00000000,00000111,1.875,1.0,1.875
00000111,00000001,00000111,1.875,1.125,1.875
00000111,00000010,00000111,1.875,1.25,1.875
00000111,00000011,00000111,1.875,1.375,1.875
00000111,00000100,00000111,1.875,1.5,1.875
00000111,00000101,00000111,1.875,1.625,1.875
00000111,00000110,00000111,1.875,1.75,1.875
00000111,00000111,00000111,1.875,1.875,1.875
00000111,00001000,00000111,1.875,0.5,1.875
00000111,00001001,00000111,1.875,0.5625,1.875
00000111,00001010,00000111,1.875,0.625,1.875
00000111,00001011,00000111,1.875,0.6875,1.875
00000111,00001100,00000111,1.875,0.75,1.875
00000111,00001101,00000111,1.875,0.8125,1.875
00000111,00001110,00000111,1.875,0.875,1.875
00000111,00001111,00000111,1.875,0.9375,1.875
00001000,00000000,00000100,0.5,1.0,1.5
00001000,00000001,00000101,0.5,1.125,1.625
00001000,00000010,00000110,0.5,1.25,1.75
00001000,00000011,00000111,0.5,1.375,1.875
00001000,00000100,00000111,0.5,1.5,1.875
00001000,00000101,00000111,0.5,1.625,1.875
00001000,00000110,00000111,0.5,1.75,1.875
00001000,00000111,00000111,0.5,1.875,1.875
00001000,00001000,00000000,0.5,0.5,1.0
00001000,00001001,00000000,0.5,0.5625,1.0
00001000,00001010,00000001,0.5,0.625,1.125
00001000,00001011,00000001,0.5,0.6875,1.125
00001000,00001100,00000010,0.5,0.75,1.25
00001000,00001101,00000010,0.5,0.8125,1.25
00001000,00001110,00000011,0.5,0.875,1.375
00001000,00001111,00000011,0.5,0.9375,1.375
00001001,00000000,00000100,0.5625,1.0,1.5
00001001,00000001,00000101,0.5625,1.125,1.625
00001001,00000010,00000110,0.5625,1.25,1.75
00001001,00000011,00000111,0.5625,1.375,1.875
00001001,00000100,00000111,0.5625,1.5,1.875
00001001,00000101,00000111,0.5625,1.625,1.875
00001001,00000110,00000111,0.5625,1.75,1.875
00001001,00000111,00000111,0.5625,1.875,1.875
00001001,00001000,00000000,0.5625,0.5,1.0
00001001,00001001,00000001,0.5625,0.5625,1.125
00001001,00001010,00000001,0.5625,0.625,1.125
00001001,00001011,00000010,0.5625,0.6875,1.25
00001001,00001100,00000010,0.5625,0.75,1.25
00001001,00001101,00000011,0.5625,0.8125,1.375
00001001,00001110,00000011,0.5625,0.875,1.375
00001001,00001111,00000100,0.5625,0.9375,1.5
00001010,00000000,00000101,0.625,1.0,1.625
00001010,00000001,00000110,0.625,1.125,1.75
00001010,00000010,00000111,0.625,1.25,1.875
00001010,00000011,00000111,0.625,1.375,1.875
00001010,00000100,00000111,0.625,1.5,1.875
00001010,00000101,00000111,0.625,1.625,1.875
00001010,00000110,00000111,0.625,1.75,1.875
00001010,00000111,00000111,0.625,1.875,1.875
00001010,00001000,00000001,0.625,0.5,1.125
00001010,00001001,00000001,0.625,0.5625,1.125
00001010,00001010,00000010,0.625,0.625,1.25
00001010,00001011,00000010,0.625,0.6875,1.25
00001010,00001100,00000011,0.625,0.75,1.375
00001010,00001101,00000011,0.625,0.8125,1.375
00001010,00001110,00000100,0.625,0.875,1.5
00001010,00001111,00000100,0.625,0.9375,1.5
00001011,00000000,00000101,0.6875,1.0,1.625
00001011,00000001,00000110,0.6875,1.125,1.75
00001011,00000010,00000111,0.6875,1.25,1.875
00001011,00000011,00000111,0.6875,1.375,1.875
00001011,00000100,00000111,0.6875,1.5,1.875
00001011,00000101,00000111,0.6875,1.625,1.875
00001011,00000110,00000111,0.6875,1.75,1.875
00001011,00000111,00000111,0.6875,1.875,1.875
00001011,00001000,00000001,0.6875,0.5,1.125
00001011,00001001,00000010,0.6875,0.5625,1.25
00001011,00001010,00000010,0.6875,0.625,1.25
00001011,00001011,00000011,0.6875,0.6875,1.375
00001011,00001100,00000011,0.6875,0.75,1.375
00001011,00001101,00000100,0.6875,0.8125,1.5
00001011,00001110,00000100,0.6875,0.875,1.5
00001011,00001111,00000101,0.6875,0.9375,1.625
00001100,00000000,00000110,0.75,1.0,1.75
00001100,00000001,00000111,0.75,1.125,1.875
00001100,00000010,00000111,0.75,1.25,1.875
00001100,00000011,00000111,0.75,1.375,1.875
00001100,00000100,00000111,0.75,1.5,1.875
00001100,00000101,00000111,0.75,1.625,1.875
00001100,00000110,00000111,0.75,1.75,1.875
00001100,00000111,00000111,0.75,1.875,1.875
00001100,00001000,00000010,0.75,0.5,1.25
00001100,00001001,00000010,0.75,0.5625,1.25
00001100,00001010,00000011,0.75,0.625,1.375
00001100,00001011,00000011,0.75,0.6875,1.375
00001100,00001100,00000100,0.75,0.75,1.5
00001100,00001101,00000100,0.75,0.8125,1.5
00001100,00001110,00000101,0.75,0.875,1.625
00001100,00001111,00000101,0.75,0.9375,1.625
00001101,00000000,00000110,0.8125,1.0,1.75
00001101,00000001,00000111,0.8125,1.125,1.875
00001101,00000010,00000111,0.8125,1.25,1.875
00001101,00000011,00000111,0.8125,1.375,1.875
00001101,00000100,00000111,0.8125,1.5,1.875
00001101,00000101,00000111,0.8125,1.625,1.875
00001101,00000110,00000111,0.8125,1.75,1.875
00001101,00000111,00000111,0.8125,1.875,1.875
00001101,00001000,00000010,0.8125,0.5,1.25
00001101,00001001,00000011,0.8125,0.5625,1.375
00001101,00001010,00000011,0.8125,0.625,1.375
00001101,00001011,00000100,0.8125,0.6875,1.5
00001101,00001100,00000100,0.8125,0.75,1.5
00001101,00001101,00000101,0.8125,0.8125,1.625
00001101,00001110,00000101,0.8125,0.875,1.625
00001101,00001111,00000110,0.8125,0.9375,1.75
00001110,00000000,00000111,0.875,1.0,1.875
00001110,00000001,00000111,0.875,1.125,1.875
00001110,00000010,00000111,0.875,1.25,1.875
00001110,00000011,00000111,0.875,1.375,1.875
00001110,00000100,00000111,0.875,1.5,1.875
00001110,00000101,00000111,0.875,1.625,1.875
00001110,00000110,00000111,0.875,1.75,1.875
00001110,00000111,00000111,0.875,1.875,1.875
00001110,00001000,00000011,0.875,0.5,1.375
00001110,00001001,00000011,0.875,0.5625,1.375
00001110,00001010,00000100,0.875,0.625,1.5
00001110,00001011,00000100,0.875,0.6875,1.5
00001110,00001100,00000101,0.875,0.75,1.625
00001110,00001101,00000101,0.875,0.8125,1.625
00001110,00001110,00000110,0.875,0.875,1.75
00001110,00001111,00000110,0.875,0.9375,1.75
00001111,00000000,00000111,0.9375,1.0,1.875
00001111,00000001,00000111,0.9375,1.125,1.875
00001111,00000010,00000111,0.9375,1.25,1.875
00001111,00000011,00000111,0.9375,1.375,1.875
00001111,00000100,00000111,0.9375,1.5,1.875
00001111,00000101,00000111,0.9375,1.625,1.875
00001111,00000110,00000111,0.9375,1.75,1.875
00001111,00000111,00000111,0.9375,1.875,1.875
00001111,00001000,00000011,0.9375,0.5,1.375
00001111,00001001,00000100,0.9375,0.5625,1.5
00001111,00001010,00000100,0.9375,0.625,1.5
00001111,00001011,00000101,0.9375,0.6875,1.625
00001111,00001100,00000101,0.9375,0.75,1.625
00001111,00001101,00000110,0.9375,0.8125,1.75
00001111,00001110,00000110,0.9375,0.875,1.75
00001111,00001111,00000111,0.9375,0.9375,1.875
